 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getDevToolsClasspath = [C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.hot-reload\hot-reload-devtools\1.0.0-beta04\dc7cfa1b17378d88072c69ab525a87fdf4ef5207\hot-reload-devtools-1.0.0-beta04.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.hot-reload\hot-reload-devtools-api\1.0.0-beta04\226727c06f27ba4d327519ec76bbdfb3c0259cd1\hot-reload-devtools-api-1.0.0-beta04.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.hot-reload\hot-reload-orchestration\1.0.0-beta04\35cfb5d17c4773f4540b40a75927c37db4023236\hot-reload-orchestration-1.0.0-beta04.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.hot-reload\hot-reload-core\1.0.0-beta04\1b032b4dfc930f71cc116259519f1e703084a3c\hot-reload-core-1.0.0-beta04.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.hot-reload\hot-reload-runtime-api-jvm\1.0.0-beta04\772485c5abb5cc578ad8e3889615ed17187671af\hot-reload-runtime-api-jvm-1.0.0-beta04.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.desktop\desktop-jvm\1.8.2\61be96a019ac35e8751b08b33856344a24586648\desktop-jvm-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.material3\material3-desktop\1.8.2\1f1f838506ceb2c25499517559f120517770b014\material3-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.components\components-resources-desktop\1.8.2\10110d785f486bc13235f40e1d0b91a48b5f3ee6\library-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\io.sellmair\evas-compose-jvm\1.3.0\1214dcce9040d1b9f856b02b443cf8c2ebe1573a\evas-compose-jvm-1.3.0.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.material\material-desktop\1.8.2\7aae6f749a060718d931957a27d495f26b2d4f37\material-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.material\material-ripple-desktop\1.8.2\5c9c96a95930f802de1b611fb610db4a0eff49cf\material-ripple-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.foundation\foundation-desktop\1.8.2\a251fa6042a2647206fb47795485a1ad07a69dd6\foundation-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.material\material-icons-core-desktop\1.7.3\414b3096050fe647b0638832eace80f22c06b85c\material-icons-core-desktop-1.7.3.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.animation\animation-desktop\1.8.2\84109f752086843a85325f8aeffa2302b312c948\animation-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.animation\animation-core-desktop\1.8.2\ff4a236b5e86b2e12449ae75755048d1a2a99102\animation-core-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.foundation\foundation-layout-desktop\1.8.2\726fa1c81f73f76e89383ada6d9b61fc71bcf07c\foundation-layout-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-desktop\1.8.2\703540d8fb0705482a06efcf765dcf8f2c1860ab\ui-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-tooling-preview-desktop\1.8.2\7e1d509da90394d063aef5b444bf218024b13250\ui-tooling-preview-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-backhandler-desktop\1.8.2\ea4812b145ca9acd8e773aaf645a03873c06b258\ui-backhandler-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-text-desktop\1.8.2\9db545dedb30354f4f9fedce25d58d804eecfbd2\ui-text-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-graphics-desktop\1.8.2\bca771ce391f6f410089f9b68e4af0c53996fcb6\ui-graphics-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-unit-desktop\1.8.2\65eee0086e59109657cc7a7ad7569e1be78f1a93\ui-unit-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.androidx.lifecycle\lifecycle-runtime-compose-desktop\2.8.4\e950e2a504a045ac652718dc20e736f28c5ff4c2\lifecycle-runtime-compose-desktop-2.8.4.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.runtime\runtime-saveable-desktop\1.8.2\952c9bfa714b76d73d2cd872ced4d3b58a7dc7c\runtime-saveable-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-geometry-desktop\1.8.2\6301b97db2ec7ea140bf185f0712891cfa1f480d\ui-geometry-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.runtime\runtime-desktop\1.8.2\7a1668d4c5899a12dae59f4ecc805c3179333538\runtime-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\io.sellmair\evas-jvm\1.3.0\74c1f6c46502ffda615a698c02b3166fc7e9b2b2\evas-jvm-1.3.0.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.skiko\skiko-awt-runtime-windows-x64\0.9.4.2\fac06bd2c94db6c4eeb9f44e64290a38e9246da0\skiko-awt-runtime-windows-x64-0.9.4.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.skiko\skiko-awt\0.9.4.2\1c5d9ec55031cef90d7874c20f001b179a0f656c\skiko-awt-0.9.4.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\androidx.lifecycle\lifecycle-viewmodel-desktop\2.8.5\572f6fed6a70c5d87c9a0d17d05828ff1a6f19f8\lifecycle-viewmodel-desktop-2.8.5.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\androidx.lifecycle\lifecycle-runtime-desktop\2.8.5\fed8b9973735cbe77645edf153d5f7bb412bfd45\lifecycle-runtime-desktop-2.8.5.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\androidx.lifecycle\lifecycle-common-jvm\2.8.5\7174a594afb73a9ad9ac9074ce78b94af3cc52a7\lifecycle-common-jvm-2.8.5.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlinx\kotlinx-coroutines-core-jvm\1.10.2\4a9f78ef49483748e2c129f3d124b8fa249dafbf\kotlinx-coroutines-core-jvm-1.10.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlinx\kotlinx-coroutines-swing\1.10.2\ccb5a2e7c83fa76da0ba4677f05678d3bd3eed57\kotlinx-coroutines-swing-1.10.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlinx\kotlinx-datetime-jvm\0.6.2\f177b43ce53f69151797206ce762b36199692474\kotlinx-datetime-jvm-0.6.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.hot-reload\hot-reload-annotations-jvm\1.0.0-beta04\4415c0b1c8ae02cd1f03aa6ce21ee2753407c22f\hot-reload-annotations-jvm-1.0.0-beta04.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.compose.ui\ui-util-desktop\1.8.2\2a882d6cfc3d1228c1284ca34a2ebfc2b5ca3815\ui-util-desktop-1.8.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlin\kotlin-stdlib-jdk8\2.1.21\fb62497994f5cfa4ad41fcff05020c35976307c6\kotlin-stdlib-jdk8-2.1.21.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlinx\atomicfu-jvm\0.23.2\a4601dc42dceb031a586058e8356ff778a57dea0\atomicfu-jvm-0.23.2.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlin\kotlin-stdlib-jdk7\2.1.21\f5e72fe5f9501e0d27ec633beb3996c29641b877\kotlin-stdlib-jdk7-2.1.21.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\androidx.collection\collection-jvm\1.5.0\7ba2c69414d46ebc2dd76598bdd0a75c54281a57\collection-jvm-1.5.0.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\androidx.arch.core\core-common\2.2.0\5e1b8b81dfd5f52c56a8d53b18ca759c19a301f3\core-common-2.2.0.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\androidx.annotation\annotation-jvm\1.9.1\b17951747e38bf3986a24431b9ba0d039958aa5f\annotation-jvm-1.9.1.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains.kotlin\kotlin-stdlib\2.1.21\97a0975aa19d925e109537af60eb46902920015c\kotlin-stdlib-2.1.21.jar, C:\Users\Guillaume BROCERO\.gradle\caches\modules-2\files-2.1\org.jetbrains\annotations\23.0.0\8cc20c07506ec18e0834947b84a864bfc094484e\annotations-23.0.0.jar]
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getOrchestrationPort = null
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getGradleBuildProject = :windows
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getGradleBuildContinuous = true
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getDevToolsIsHeadless = false
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getDevToolsDetached = false
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getIdeaComposeHotReload = false
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getDevToolsTransparencyEnabled = true
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getVirtualMethodResolveEnabled = true
 | 17:49:50.778 | App      | Info  | LoggingKt | Hot Reload Main | HotReloadEnvironment.getIntelliJDebuggerDispatchPort = null
